fischietto simbolo di matera;Basilicata, cuccù
una storia ormai giunta al capolinea per bersani;Musica, spaccacuore
pietre di granito scivolano sul ghiaccio;Nel curling
al pescatore non dire mai buona pesca;Parole vietate
non beve con la bocca ma assorbe acqua dalla pelle;Animali, il diavolo spinoso
una scala quaranta con gli amici;Carte
spritz e gin tonic tra i cocktail più amati;Grandi classici
contestare una multa ingiusta;Errore verbale
leggendaria band esponente della musica funk;Kool & the gang
tortino salato dal ripieno saporito;Libano, sfiha
muovere le mani mentre si parla è nel dna;Gesti italiani
sta su una zampa sola per ore senza stancarsi;Animali, il fenicottero
il nonno lo usava per rasarsi ogni mattina;Oggetti di una volta
copiare dal vicino sperando di non essere visti;Vita da studente
si allontana dalla terra ogni anno di qualche cm;Curiosità, la luna
il caffè si beve in piedi e in trenta secondi;Bar italiano
secondo la fisica non dovrebbe riuscire a volare;Animali, il calabrone
aspettare i cartoni del sabato mattina;Ricordi d'infanzia
rosso di sera bel tempo si spera;Detti del mare
la pasta più rara del mondo fatta a mano;Sardegna, su filindeu
il tormentone degli eiffel 65 conquista il mondo;Musica, Blue
battitore difende il paletto dal lancio;Nel cricket
fiore d'arancio dal profumo inconfondibile;Sicilia, la zagara
ritratto poetico della società per rino gaetano;Musica, il cielo è sempre più blu
il lanciatore scaglia la palla al battitore;Nel baseball
osteria dove si beve ombra e si mangia cicchetti;Venezia, il bacaro
bottiglia impagliata simbolo del vino chiantigiano;Toscana, il fiasco
colpire la pallina con meno colpi fino alla buca;Nel golf
ballata malinconica che ha reso famoso ed sheeran;Musica, Photograph
caffè e cornetto al bar la mattina presto;Grandi classici
briscola e scopone nelle serate in famiglia;Carte
chiamare la suocera con il nome sbagliato;Errore verbale
dorme venti ore al giorno sugli eucalipti;Animali, il koala
spaghetti al pomodoro e una bottiglia di vino;Grandi classici
poker con gli amici fino a tarda notte;Carte
colpisce lo stesso posto più volte al contrario;Curiosità, il fulmine
dire prego invece di grazie per l'emozione;Errore verbale
gelato in coppetta sul lungomare la sera;Grandi classici
ayrton senna il pilota più amato di sempre;Formula Uno
ha otto tentacoli e cambia colore;Animali, il polpo
sembra una pianta ma in realtà è un animale;Mare, il corallo
mammifero che depone le uova con il becco;Animali, il platipo
quattro ragazzi di liverpool che cambiarono tutto;I Beatles
tecnicamente è un liquido che scorre lentissimo;Curiosità, il vetro
i bambini trovano i doni il giorno dei morti;Tradizione siciliana
versare il sale porta grande sfortuna;Scaramanzia italiana
al teatro non dire mai la parola portafortuna;Parole vietate
la femmina divora il maschio dopo l'accoppiamento;Animali, la mantide
è l'unico alimento che non va mai a male;Curiosità, il miele
galleggia sull'acqua e questo ci salva la vita;Curiosità, il ghiaccio
dorme così tanto da diventare un modo di dire;Animali, il ghiro
la rock band britannica più longeva della storia;Rolling Stones
cresce così in fretta che si vede quasi ad occhio;Curiosità, il bambù
colonna d'aria rotante che distrugge ogni cosa;Fenomeni naturali, il tornado
si suona sfiorando le corde con un archetto;Strumenti, il violino
modella l'argilla con le mani sul tornio;Lavoro artigianale, il vasaio
storica corsa di cavalli in piazza del campo;Palio di Siena
celebre crema spalmabile al cacao nata in piemonte;Nutella
danza popolare del sud dal ritmo frenetico;Tradizione, la tarantella
la sua lava scorre fino al mare di notte;Sicilia, lo stromboli
tenore italiano dalla voce inconfondibile e potente;Pavarotti
iconico scooter italiano nato nel dopoguerra;Vespa Piaggio
anfiteatro romano simbolo eterno della capitale;Il Colosseo
piatto romano che divide tra pancetta e guanciale;Carbonara
la mattina sul pane non può mai mancare;Nutella
il rocker di zocca che ha fatto la storia;Vasco Rossi
ogni contrada lotta per portarlo a casa;Palio di Siena
le sue note accompagnano le serate napoletane;Strumenti, il mandolino
si balla in cerchio durante le feste di paese;Tradizione, la tarantella
la sua voce ha emozionato il mondo intero;Pavarotti
strumento a corde tipico della tradizione napoletana;Strumenti, il mandolino
isola siciliana con vulcano sempre in attività;Sicilia, lo stromboli
genio del cinema autore de la dolce vita;Federico Fellini
la due ruote più amata dagli italiani nel mondo;Vespa Piaggio
ogni anno milioni di turisti lo vengono ad ammirare;Il Colosseo
cambia colore per mimetizzarsi e comunicare;Animali, il camaleonte
passare sotto una scala porta sempre sfortuna;Scaramanzia italiana
al sposo non mostrare l'abito prima del rito;Parole vietate
ha tre cuori e sangue di colore blu;Animali, il polpo
la notte in cui i bambini trovano i doni;Festività, il natale
